"ID","m_road","month","year"
"PR17M0002",0.027423820216613,"02","2018"
"PR17M0007",0.0305874737012462,"02","2018"
"PR17M0006",0.0303177428925932,"02","2018"
"PR17M0005",0.0492618366869864,"02","2018"
"PR17M0031",0.0217200329879164,"02","2018"
"PR17M0016",0.0204276132419845,"02","2018"
"PR17M0022",0.0217244271298325,"02","2018"
"PR17M0023",0.0282677887468307,"02","2018"
"PR17F0032",0.027414802189577,"02","2018"
"PR17M0032",0.0331948715182248,"02","2018"
"PR17M0029",0.0302008595421769,"02","2018"
"PR17M0026",0.0217785352920488,"02","2018"
"PR17M0019",0.0216883550216884,"02","2018"
"PR17M0025",0.0332584837089342,"02","2018"
"PR17M0027",0.0197892503281725,"02","2018"
"PR17M0030",0.0303546790033277,"02","2018"
"PR17M0018",0.021749294204384,"02","2018"
"PR17F0035",0.0439899358818278,"02","2018"
"PR17M0024",0.0217785352920488,"02","2018"
"PR17F0031",0.0332404476548621,"02","2018"
"PR17M0028",0.0331502673845016,"02","2018"
"PR17M0021",0.0368182553811296,"02","2018"
"PR17U0007",0.033212853572135,"02","2018"
"PR17M0017",0.0217244271298325,"02","2018"
"PR17F0023",0.0311898725072378,"02","2018"
"PR17F0026",0.0302464626788951,"02","2018"
"PR17F0008",0.033033033033033,"02","2018"
"PR17U0001",0.0302727877578177,"02","2018"
"PR17F0018",0.0332488176799554,"02","2018"
"PR17M0011",0.0218326434542651,"02","2018"
"PR17F0027",0.0376903849957742,"02","2018"
"PR17F0019",0.0274779283788293,"02","2018"
"PR17F0020",0.029615200786372,"02","2018"
"PR17U0004",0.0330510690871051,"02","2018"
"PR17F0022",0.031028034022046,"02","2018"
"PR17F0037",0.031028034022046,"02","2018"
"PR17M0003",0.033212853572135,"02","2018"
"PR17F0024",0.0310851391932473,"02","2018"
"PR17M0001",0.0283436589742896,"02","2018"
"PR17M0010",0.0457013900127673,"02","2018"
"PR17M0008",0.049238427616806,"02","2018"
"PR17F0036",0.0457707339811395,"02","2018"
"PR17M0033",0.049225872579166,"02","2018"
"PR17M0013",0.0470230709751668,"02","2018"
"PR17F0013",0.0440740141338944,"02","2018"
"PR17M0015",0.0492798187408966,"02","2018"
"PR17F0014",0.049225872579166,"02","2018"
"PR17F0006",0.0490670851031211,"02","2018"
"PR17F0007",0.0464879293708123,"02","2018"
"PR17F0009",0.0310606332245688,"02","2018"
"PR17M0014",0.0332847817877758,"02","2018"
"PR17M0034",0.0464879293708123,"02","2018"
"PR17F0015",0.0310490670851031,"02","2018"
"PR17M0009",0.021290751829674,"02","2018"
"PR17M0012",0.0494416572260884,"02","2018"
"PR17F0004",0.0298861735987484,"02","2018"
"PR17F0010",0.0283707130553977,"02","2018"
"PR17F0005",0.0217695172650128,"02","2018"
"PR17F0012",0.0309588868147427,"02","2018"
"PR17M0004",0.0308867425984543,"02","2018"
"PR17F0001",0.049238427616806,"02","2018"
"PR17F0002",0.031028034022046,"02","2018"
"PR17F0003",0.0312113915717519,"02","2018"
"PR17F0033",0.0302464626788951,"02","2018"
"PR17F0034",0.0304705903508299,"02","2018"
"PR17F0011",0.049225872579166,"02","2018"
"PR17F0017",0.0275230185140095,"02","2018"
"PR17M0002",0.0290019749479209,"04","2018"
"PR17M0007",0.039823607391175,"04","2018"
"PR17M0006",0.036485587383791,"04","2018"
"PR17M0005",0.0518062973152794,"04","2018"
"PR17M0031",0.0335455215694737,"04","2018"
"PR17M0016",0.0303087518656381,"04","2018"
"PR17M0022",0.0190519861178544,"04","2018"
"PR17M0023",0.0171973775577379,"04","2018"
"PR17F0032",0.0293626960293627,"04","2018"
"PR17M0032",0.0320709931488375,"04","2018"
