"ID","used_out","used_in","month","year"
"PR17F0020",0,358,7,2018
"PR17F0019",0,359,7,2018
"PR17F0027",0,358,7,2018
"PR17M0011",0,356,7,2018
"PR17F0018",175,176,7,2018
"PR17U0001",0,345,7,2018
"PR17F0008",0,358,7,2018
"PR17F0017",48,309,7,2018
"PR17F0026",0,349,7,2018
"PR17F0023",116,241,7,2018
"PR17M0017",0,357,7,2018
"PR17U0007",0,357,7,2018
"PR17M0021",0,360,7,2018
"PR17F0034",44,315,7,2018
"PR17M0028",0,360,7,2018
"PR17F0031",0,341,7,2018
"PR17M0024",0,339,7,2018
"PR17F0035",32,325,7,2018
"PR17M0018",0,358,7,2018
"PR17M0030",0,360,7,2018
"PR17M0027",0,358,7,2018
"PR17M0025",0,359,7,2018
"PR17M0019",0,360,7,2018
"PR17F0033",17,335,7,2018
"PR17M0026",0,360,7,2018
"PR17M0029",0,359,7,2018
"PR17M0032",2,357,7,2018
"PR17F0032",112,246,7,2018
"PR17M0023",64,296,7,2018
"PR17M0022",34,320,7,2018
"PR17M0016",0,358,7,2018
"PR17M0031",77,274,7,2018
"PR17M0005",3,353,7,2018
"PR17M0006",0,361,7,2018
"PR17M0007",0,361,7,2018
"PR17M0002",1,350,7,2018
"PR17F0019",126,215,11,2018
"PR17F0015",3,339,11,2018
"PR17F0037",116,203,11,2018
"PR17F0003",258,87,11,2018
"PR17F0002",198,148,11,2018
"PR17F0012",33,314,11,2018
"PR17F0005",15,331,11,2018
"PR17F0010",6,328,11,2018
"PR17F0004",159,176,11,2018
"PR17M0012",0,349,11,2018
"PR17M0009",0,292,11,2018
"PR17M0034",0,347,11,2018
"PR17M0014",162,187,11,2018
"PR17F0009",24,324,11,2018
"PR17F0011",0,347,11,2018
"PR17F0006",0,347,11,2018
"PR17F0014",0,347,11,2018
"PR17M0015",0,329,11,2018
"PR17F0013",104,241,11,2018
"PR17M0013",0,336,11,2018
"PR17F0036",2,342,11,2018
"PR17M0008",0,343,11,2018
"PR17M0001",2,346,11,2018
"PR17F0024",98,250,11,2018
"PR17M0003",154,189,11,2018
"PR17U0004",100,249,11,2018
"PR17F0020",57,289,11,2018
"PR17F0027",100,246,11,2018
"PR17M0011",99,247,11,2018
