"ID","year","sex","unit","used_out","used_in","month","month_long","avail_pts","m_elev","m_snd","m_a.sin","m_a.cos","m_rough","m_bio","m_herb","m_shrub","m_tree","m_SC_elev","m__SC_a.sin","m__SC_a.cos","m__SC_rough","m__SC_bio","m__SC_herb","m__SC_shrub","m_SC_tree","m_road","m_PDSI","Intercept_beta","Elev_beta","Asp_sin_beta","Asp_cos_beta","Rough_beta","Herb_beta","Shrub_beta","Tree_beta","Intercept_stder","Elev_stder","Asp_sin_stder","Asp_cos_stder","Rough_stder","Herb_stder","Shrub_stder","Tree_stder","is.Winter","is.Spring","is.Summer","is.Fall","is.2018","is.2019","is.2020","is.2021","mortality","age_class","age","b_year","tendency","mig_tend","is.mig","is.res","is.unk_mig","is.Adult","is.age_unk","is.Male","is.Female","is.unk","is.AntelopeIsland","is.Dugway","is.NorthSlope","is.Plateau","is.SouthwestDesert","is.WestDesert","is.Woodruff","clim.reg","is.NorthCentral","is.NorthMnt","is.Western","is.SouthCentral","is.mountain"
"PR20M0002",2020,"M","West Desert",168,167,2,"February",110889,1384.89269677502,8.54765141981576,-0.212280706746369,0.0598481581252785,4.04538576948817,986.736339943547,64.3276880484088,9.40481021562103,0.0586712838965091,-1.41682399166642,-0.336180138170189,-0.0540711561859394,-0.376948001784221,1.63486250367367,1.56458267495066,-0.723144614408675,-0.446920515816809,0.0452163875587299,2.19668544356617,-26.6825765759964,-7.12035097436177,-0.653943084433076,-0.188587022844888,0.714944254358001,0.0226630451172082,0.242911321069131,-4.65548959537528,1.73629252139304,0.839489684109698,0.0691038630724977,0.0733897018540519,0.101021070227021,0.122539641466513,0.204161872381041,2.67948902376334,1,0,0,0,0,0,1,0,"false","U",NA,NA,"unk","unk",0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0002",2020,"M","West Desert",75,273,11,"November",110889,1412.21997298625,0.517257502023405,-0.410609789613232,0.00681696271384588,6.34366157555888,570.711477243009,52.2160719277836,8.2182633083534,0.402312222132042,-1.36254736920716,-0.610438408738903,-0.131694789168359,-0.124187294660413,0.530917143741497,1.01163600392872,-0.838581820028268,-0.407293510616899,0.0393276159041925,-3.41562565945854,-11.4011096895705,3.84758902542135,-0.266689728275537,0.085035394116411,-0.601274229938331,-0.274717635596524,-1.10256260413988,-2.80846846017797,0.834426933937503,0.489709220508726,0.0669500745970127,0.0684701996287975,0.142682216361017,0.144624863195673,0.191879562123639,1.29842442492887,0,0,0,1,0,0,1,0,"false","U",NA,NA,"unk","unk",0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0004",2020,"M","West Desert",0,348,4,"April",110889,1484.55089503214,0.62333263927155,-0.292085506200743,-0.0894530929935995,12.3299721279557,899.825582339096,61.4837540242946,10.0050410771131,0.94753311870429,-1.21888584518004,-0.446537761797846,-0.272608668507778,0.534177591002912,1.40423992269902,1.4347450186397,-0.664749136781203,-0.344421282952454,0.0436562688814941,0.408768221618675,-12.5743617538975,1.61995714401924,0.00668709135244829,0.000651161651347656,-2.0924452625336,-0.846791337018231,-1.01236774962077,-1.28917284427315,0.679757835783414,0.484537978645007,0.0544502309196169,0.0608807889888237,0.223130277411259,0.112807240729206,0.191548252010642,0.853430514048657,0,1,0,0,0,0,1,0,"false","adult",5.5,2015,"res","res",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0004",2020,"M","West Desert",0,337,7,"July",110889,1452.98321416129,NA,-0.326592852001444,-0.0419691117906425,9.88879357212999,572.82121761401,53.5298000703406,8.60001442884326,0.746755764773783,-1.28158463313452,-0.494256053257753,-0.203104688805902,0.26570066740822,0.536515458414592,1.07161326838459,-0.801441878639033,-0.367573952972157,0.0431332233134035,-2.07504522678107,-14.8981306505214,2.82081052617899,-0.0385519609790481,-0.783538538145396,-1.50526773621723,-1.08694627303329,-0.881962294817015,-8.90977247162306,1.4092711493337,0.438428926552681,0.0607508119286541,0.0732335099650518,0.197465273918297,0.13210892921946,0.175733504458427,2.93483010837003,0,0,1,0,0,0,1,0,"false","adult",5.5,2015,"res","res",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0004",2020,"M","West Desert",92,244,2,"February",110889,1531.50483398173,11.4667774261123,-0.191979475984401,-0.0256843445000608,17.0181462596024,838.185843501159,59.1104257410564,9.88633678723769,1.34476819161504,-1.12562732948884,-0.308106693979802,-0.179268099991317,1.04977550379673,1.24067541062669,1.3263925113947,-0.67629768276312,-0.298614062250968,0.0347103860617374,2.07823934165806,-19.238682732286,-2.00890609884364,-0.566452782964812,-0.819304886532493,-0.325790037534047,-0.396890492721458,0.216605171271905,-6.01992183919692,1.05481367681814,0.552309486699009,0.0778549220855592,0.0821433140967644,0.0969981666534539,0.139357236506993,0.187458229208007,1.83391365931819,1,0,0,0,0,0,1,0,"false","adult",5.5,2015,NA,NA,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0005",2020,"M","West Desert",0,337,7,"July",111222,1441.8569064297,NA,-0.419691719721928,-0.00895809663879825,8.93410963541491,568.039857222492,52.7377856898815,8.47647048245851,0.714409019798241,-1.30368337431332,-0.622997305341622,-0.154785300479019,0.160706050884628,0.523827849832459,1.03545445103811,-0.813461266877728,-0.371304022613823,0.0375375375375375,-2.03996616332919,-9.80797479423692,4.55570653176437,-0.478463967301076,0.281331263550353,-1.84581170741493,-0.879702757674393,-1.10971242595874,-1.41461751498724,0.537189372408032,0.37367380265183,0.0768698246890677,0.0705741407594049,0.238217910070126,0.14238881205592,0.184998887973129,0.766344473793343,0,0,1,0,0,0,1,0,"false","adult",4.5,2016,"res","res",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0005",2020,"M","West Desert",20,328,4,"April",111222,1342.97974211105,6.47353950413439e-05,-0.316948301115981,0.0952465229965703,1.78061221219582,830.028564492636,55.6002949056841,11.8552444660229,0.0524536512560465,-1.50007025444303,-0.480919139639114,-0.00225731978966335,-0.626024185027524,1.21902961221773,1.16614014367266,-0.484745878810155,-0.447637503036783,0.0254895614177051,1.7773870277253,-39.2254575145278,-15.8898074507192,-0.0958869091321591,-0.257393634987619,1.36745366822709,-0.51246073780384,-0.942530833051336,-3.96429269804973,3.42695977415939,2.13779850714388,0.0492150359595137,0.079971797919459,0.141188367501416,0.0955425775151486,0.177700330817252,2.3502584712381,0,1,0,0,0,0,1,0,"false","adult",4.5,2016,"res","res",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0005",2020,"M","West Desert",100,236,2,"February",111222,1343.3182017752,7.73985580563196,-0.00252266073530407,0.0488706725801983,1.90545488239456,777.547850245455,52.4781248314182,12.420699142256,0.062514610418802,-1.49939801593426,-0.0461173894028515,-0.070139289336817,-0.612294187298224,1.07976908676975,1.02359983098972,-0.429733719300004,-0.446477322055129,0.0228821636007265,3.22350148803022,-22.8797536224715,-3.11061290701177,0.00469611102399347,-0.32731382466991,1.19592665738414,-0.29862592646474,-1.13762548092235,-9.30192713763067,2.39537942538622,1.06361246816992,0.0576146857425389,0.0822390538774451,0.0901442302350743,0.109151366080086,0.215450377622899,3.7966971365906,1,0,0,0,0,0,1,0,"false","adult",4.5,2016,NA,NA,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0006",2020,"M","West Desert",0,348,4,"April",111222,1641.32950638151,5.18595932970958,0.00172707510917889,0.0863316376448423,19.6963623220286,646.981109852367,50.0199420977864,12.3533563503623,3.16888745032458,-0.907496834723106,-0.0402406657966409,-0.0153063522177292,1.34432143426385,0.733302901352912,0.911373358008081,-0.436285389248503,-0.0882654823603068,0.0235205265145385,-1.22451088291884,-11.1866226101996,5.21229273402511,-0.300224976723084,-0.120076363018481,-0.442282335084735,0.867431693184572,-0.118675428226667,-0.828104870009262,0.256009123112146,0.233423656744171,0.0589034524872301,0.0662907797098565,0.0595669329843411,0.155311997375576,0.175449558288872,0.297624977651178,0,1,0,0,0,0,1,0,"false","U",NA,NA,"mig","mig",0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
"PR20M0006",2020,"M","West Desert",2,331,7,"July",111222,1624.42442436552,NA,0.0860084106076996,0.0814753159427838,19.5985265862384,407.147695599791,42.7760784736833,12.767123410836,3.36874898850947,-0.941073205347551,0.076307310833507,-0.0224147217447696,1.33356161610148,0.0968914544452216,0.58066024454804,-0.39603066948483,-0.0652184197676469,0.0232507957058855,-2.41932400892944,-10.9955498385248,3.60108869370959,-0.549311791879187,-0.0811909396189083,-0.935963486645078,0.40658526900712,0.103107242229796,-0.689980923154238,0.239812998068372,0.241454261883668,0.0651392022816129,0.0666485972832137,0.070929085009403,0.170812401300854,0.163570623912887,0.213980656152153,0,0,1,0,0,0,1,0,"false","U",NA,NA,"mig","mig",0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,"Western",0,0,1,0,0
