"ID","year","used_out","used_in","month","month_long","avail_pts","m_elev","m_snd","m_a.sin","m_a.cos","m_rough","m_bio","m_herb","m_shrub","m_tree","m_SC_elev","m__SC_a.sin","m__SC_a.cos","m__SC_rough","m__SC_bio","m__SC_herb","m__SC_shrub","m_SC_tree","m_road","m_PDSI","Intercept_beta","Elev_beta","Asp_sin_beta","Asp_cos_beta","Rough_beta","Herb_beta","Shrub_beta","Tree_beta","Intercept_stder","Elev_stder","Asp_sin_stder","Asp_cos_stder","Rough_stder","Herb_stder","Shrub_stder","Tree_stder","is.Winter","is.Spring","is.Summer","unit","sex","age_class","mig_tend","is.Fall","is.2018","is.2019","is.2020","is.2021","mortality","age","b_year","tendency","is.mig","is.res","is.unk_mig","is.Adult","is.age_unk","is.Male","is.Female","is.unk","is.AntelopeIsland","is.Dugway","is.NorthSlope","is.Plateau","is.SouthwestDesert","is.WestDesert","is.Woodruff","clim.reg","is.NorthCentral","is.NorthMnt","is.Western","is.SouthCentral","is.mountain","scaled_SND","scaled_PDSI","scaled_Road","Intercept_beta_scale","weight_Elev","weight_Asp_sin","weight_Asp_cos","weight_Herb","weight_Rough","weight_Shrub","weight_Tree","scaled_log_RAP_bio","m_snd_no_0","scaled_log_SND","m_road_no_0","scaled_log_Road"
"PR17F0002","2019",206,140,"11","November",110889,2577.37863815964,40.4974662282566,0.297223119045409,0.0552998790543927,7.86448813326277,183.5891927964,23.1382193003815,24.1882603324045,1.61961060159258,0.951656083999491,0.368384397146096,-0.0607286328383315,0.0430707842535836,-0.496333600041093,-0.315891359113127,0.715113039330432,-0.266920569428901,0.0189829469108748,-2.21567843394219,-7.96091867057616,-6.68811177945231,-0.67311563809107,0.234692361522421,-1.46100573392055,3.1595692480275,0.83665204996726,-0.0244076557850488,0.506773940335324,0.510976207748397,0.0608481626111938,0.0547338331018074,0.146788914282059,0.267369248401168,0.109289820635406,0.456149309644284,0,0,0,"Plateau","F","adult","mig",1,0,1,0,0,"false",6.5,2014,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.199984772983893,-0.486446408829439,-1.00515624114052,0.551779802874935,0.000601388101542902,0.00114955910579231,0.00138438326542885,0.000220283083323618,0.000410431456243583,0.00112853026270012,0.000263201379986174,NA,40.4974662282566,0.696295243248498,0.0189829469108748,-0.454268494748062
"PR17F0002","2020",6,327,"4","April",111222,2409.50000281189,34.3096532266327,0.294446837507153,0.12802592399687,8.01871251997343,161.70418622215,19.2749725773678,21.4064213914513,3.88672205139271,0.618220536332191,0.364545231642542,0.0457230467264999,0.0600321362974742,-0.554406695247229,-0.49226496553788,0.444472484068364,-0.00548828004192225,0.0238801675927424,-0.236120567344971,-15.2910691536387,1.46293394778989,0.120093889948564,-0.313943519420342,0.556238316960786,0.456954028144563,-0.120223336651734,-0.733303508952318,0.223604194252023,0.33794265186969,0.0644827219637107,0.0567969677304737,0.0668079643459952,0.167583757761864,0.136517228772252,0.156991576624704,0,1,0,"Plateau","F","adult","mig",0,0,0,1,0,"false",6.5,2014,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.261304388810622,0.413030039197422,-0.63422905448991,-1.34611848997425,0.00137489702930172,0.00102362178420113,0.00128563523789671,0.000560712461608141,0.00198139324122126,0.000723265431614561,0.00222202788043716,NA,34.3096532266327,0.668770676704801,0.0238801675927424,-0.170397072635912
"PR17F0002","2020",40,293,"7","July",110889,2673.32060874087,0,0.269800334630102,0.0094280694701248,8.00161647474121,130.021345669994,21.6953710467224,24.8582817051286,1.42883423964505,1.14221316971063,0.330462952044826,-0.127872820024446,0.0581519405130948,-0.638478893697061,-0.381763504556374,0.780298321512644,-0.288919973591083,0.0257464671879086,-1.70672982781976,-13.51622585691,-2.18055900415787,-0.0800463965205863,-0.621901182375952,0.112644525187627,0.949459936214534,0.525963651324017,-3.79043211238581,0.448793704967168,0.395951754978014,0.0644052348760495,0.0702872082539197,0.0922547441622782,0.333244255834051,0.14800114810189,0.645445325977084,0,0,1,"Plateau","F","adult","mig",0,0,0,1,0,"false",6.5,2014,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.601304119644971,-0.255189069911561,-0.492871067326838,0.302428419619135,0.00100154771519877,0.00102608634116485,0.000839489909318743,0.000141800810377222,0.00103908179849688,0.00061537871024435,0.0001314568693894,NA,6.47353950413439e-05,-1.51918713654108,0.0257464671879086,-0.0773234460984078
"PR17F0002","2020",0,335,"2","February",111222,2349.11968487188,91.6660670417323,0.35058664230757,0.105509742967241,8.49974540862321,202.64557371743,20.6486126845408,19.1820593048138,3.89113664562766,0.498294946402606,0.44217784886673,0.0127653176229075,0.112935366085547,-0.445766422016413,-0.429552465663474,0.228067939085897,-0.00497921046015978,0.0318372264480049,-0.308062538495758,-15.1487055754174,-1.59816524475164,0.16325212334659,-0.17459781908349,0.524048444740592,-0.688057062960912,-0.0171549614847465,-3.65161794627908,0.239879351249228,0.331480530053054,0.0718435383820398,0.0602505325247201,0.0550395972343909,0.141100736573538,0.106856389038942,0.473793000411152,1,0,0,"Plateau","F","adult","mig",0,0,0,1,0,"false",6.5,2014,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,0.307082739148448,0.380340866646991,-0.0315424191655091,-1.05217347762109,0.00142902603040544,0.000824614212636156,0.00114247390295498,0.000790943562039055,0.00291928610839855,0.00118051537521851,0.000243963539198305,NA,91.6660670417323,0.831901126988231,0.0318372264480049,0.185312796466301
"PR17F0002","2020",132,199,"11","November",110889,2456.9689765449,5.76593769516125,0.285742682815705,0.126652391261854,8.83191202314012,124.586658730803,20.7695172650128,19.8361424487551,2.91646601556512,0.71250199877728,0.352508739677106,0.0437125583698813,0.149466520504197,-0.652900141000069,-0.42403265851161,0.291702617088919,-0.117373497136259,0.0158987816645474,-3.4108840002155,-25.0217077389805,13.3423421896495,-0.366376007038512,-0.166676568574439,-0.707497434294573,3.12202377293248,1.04590020268186,-1.51532162794867,0.680285976568191,0.699706983146228,0.064805732954041,0.0551206825586159,0.127970748936966,0.329653740816512,0.158889744299074,0.605568076423796,0,0,0,"Plateau","F","adult","mig",1,0,0,1,0,"false",6.5,2014,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.544165178268534,-1.02952689945507,-1.23875828039956,0.392471130309297,0.000320718323120741,0.00101344314522603,0.00136501962219781,0.000144906557919035,0.000540014886092559,0.000533925795973026,0.000149340039141708,NA,5.76593769516125,0.372720093614953,0.0158987816645474,-0.67356436842064
"PR17F0003","2018",196,136,"4","April",111222,2453.9943754168,7.41474232946994,0.296540593580611,0.133416754969099,8.6697024970154,178.382127636619,21.4126521731312,20.5587203970437,2.26328424232616,0.706593934572526,0.367440570598377,0.0536137963430608,0.131626975564811,-0.510150840156722,-0.394670820841036,0.362001042445627,-0.192695249129864,0.0146104188020356,-2.92389669027509,-45.9497318460125,34.8482769313283,-0.0579356887554285,-0.489186405969237,0.0267337037644527,0.845510790410173,1.68520051911334,-1.87203442161523,0.983622559051913,0.993783593029195,0.0673132931246023,0.0625240904467265,0.0987370957078744,0.275978785886877,0.129582759793495,0.31085190543398,0,1,0,"Plateau","F","adult","mig",0,1,0,0,0,"false",6.5,2015,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.52782595361475,-0.808248389152003,-1.33634195959663,0.437873357955592,0.000158991001175058,0.00093934378802425,0.00106089719877536,0.000206753398842185,0.000907123583465156,0.00080274606582905,0.000566754710255,NA,7.41474232946994,0.41446898905872,0.0146104188020356,-0.778089557629985
"PR17F0003","2018",0,359,"7","July",111222,2771.03901090696,0,0.218843145164956,-0.0997403957380528,7.70057802381583,167.285725845606,20.0930301559044,30.9631188074302,2.54054054054054,1.33629855095006,0.259997085648748,-0.287666556726574,0.0250442118730556,-0.539595766091231,-0.454917165685985,1.37422792643265,-0.160723398431683,0.0375645106184028,-4.56354045440052,-16.1642653485632,2.07470889932336,-0.877393307624896,0.058977630939177,-0.473215011619804,2.52693097974036,-0.554860042068132,-1.76509745077781,0.642584572213703,0.468510470994626,0.0607657952624935,0.0651599477221167,0.121279231807555,0.273176900322641,0.1093881375368,0.268169301428747,0,0,1,"Plateau","F","adult","mig",0,1,0,0,0,"false",6.5,2015,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.601304119644971,-1.55327381824951,0.402255757898489,0.49550760902455,0.000715348359910599,0.00115267764668534,0.000976802165201124,0.000211016352293574,0.000601248879678607,0.00112650255221716,0.000761524858275426,NA,6.47353950413439e-05,-1.51918713654108,0.0375645106184028,0.389920707583401
"PR17F0003","2018",0,324,"2","February",110889,2374.96192082602,155.196523669031,0.298373543812896,0.0332713789199161,9.20921176534431,184.8517346175,17.2056831606381,22.059789519249,4.23295367439512,0.549622026113892,0.369975255645462,-0.0929725261981851,0.190961344313098,-0.492983374345262,-0.586736808351087,0.508037599321624,0.0344374703518965,0.0312113915717519,-2.47806538130584,-21.1496109828077,9.33996303583075,-0.566103988628048,0.13946179455588,-2.16631978869255,0.396049926295634,-1.83809716982532,-4.85921997948774,0.41517278129315,0.473336901215569,0.0612458865133455,0.0529250232317493,0.201567531431984,0.133697763034189,0.137847518301309,0.648381313231892,1,0,0,"Plateau","F","adult","mig",0,1,0,0,0,"false",6.5,2015,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,0.936653023942166,-0.605670445370973,-0.0789446468853819,-0.0814869518834504,0.000700834483476484,0.00113467736814788,0.00148062798408521,0.000880959159383483,0.000217663696736894,0.000709373127365311,0.000130269044118028,NA,155.196523669031,0.919305693249309,0.0312113915717519,0.160757018798938
"PR17F0003","2018",258,87,"11","November",111222,2882.92586718718,121.003481243011,-0.216156627007876,0.422505992885634,4.29344567393226,157.864280448113,17.9566722411034,23.0479581377785,7.59377641114168,1.55852489394653,-0.341539932973944,0.476763920135343,-0.349666769179006,-0.56459610107819,-0.552450970038399,0.604174906077329,0.421991237225126,0.0352538166909424,-3.8804494654645,46.6164752228847,-45.4118766711439,0.315240425468463,0.101604591809274,0.553290081282502,-1.05255036344753,-1.26500818450974,0.178654089640962,1.76385149588332,1.32389859796199,0.0884758295083015,0.0941654538141096,0.285473938610674,0.56465135242935,0.250717309292088,0.561059163316724,0,0,0,"Plateau","F","adult","mig",1,1,0,0,0,"false",6.5,2015,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,0.597808875781848,-1.24288922845042,0.227238283007675,0.869315522380969,8.95873611822994e-05,0.00054372206433827,0.000467718836335046,4.93904873831728e-05,0.000108516111012963,0.000214439111672936,0.000173974215318148,NA,121.003481243011,0.877993295934731,0.0352538166909424,0.311396638647547
"PR17F0003","2019",0,359,"7","July",110889,2724.15834660542,0,0.321068174810843,-0.0431463830505884,8.24778471593426,245.477540603667,26.1637312988664,28.3044125206287,2.47029010992975,1.2431855711834,0.401358400057371,-0.204827902312477,0.085225131011392,-0.332109390093142,-0.177763897753919,1.11556674546142,-0.168824337142314,0.033817601385169,2.74263378734845,-18.6705555606031,2.79465816375718,-1.11660950241357,-0.219569017393243,0.432969121211109,-1.40944111139308,0.0328826398297863,-0.988835415548305,0.526615539574226,0.396680421116389,0.0671061897524176,0.0627676553382587,0.104419290487962,0.280569883392291,0.0921464088129133,0.280886553082962,0,0,1,"Plateau","F","adult","mig",0,0,1,0,0,"false",6.5,2015,"mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0,-0.601304119644971,1.76652388331011,0.118455906757496,0.300923600284624,0.000997871589106108,0.000945150747526754,0.00105267971909876,0.000200042352783463,0.000811083710315829,0.00158750757935429,0.000694129190738378,NA,6.47353950413439e-05,-1.51918713654108,0.033817601385169,0.259952130628746
