"ID","m_PDSI","month","year"
"PR17M0002",-2.6140090002628,"02","2018"
"PR17M0007",-2.48856780423599,"02","2018"
"PR17M0006",-2.87769695308032,"02","2018"
"PR17M0005",-2.5353689033125,"02","2018"
"PR17M0031",-2.61283535773152,"02","2018"
"PR17M0016",-2.69628171971066,"02","2018"
"PR17M0022",-2.61304054642192,"02","2018"
"PR17M0023",-2.41035844606552,"02","2018"
"PR17F0032",-2.62334947531491,"02","2018"
"PR17M0032",-2.8569567577006,"02","2018"
"PR17M0029",-2.83680241108927,"02","2018"
"PR17M0026",-2.61271272355463,"02","2018"
"PR17M0019",-2.61270002558352,"02","2018"
"PR17M0025",-2.85673625423261,"02","2018"
"PR17M0027",-2.61602371290453,"02","2018"
"PR17M0030",-2.87765412731443,"02","2018"
"PR17M0018",-2.61249590214793,"02","2018"
"PR17F0035",-2.59031670374055,"02","2018"
"PR17M0024",-2.61271272355463,"02","2018"
"PR17F0031",-2.86119801472297,"02","2018"
"PR17M0028",-2.85743601731181,"02","2018"
"PR17M0021",-2.64632617501015,"02","2018"
"PR17U0007",-2.85752918055249,"02","2018"
"PR17M0017",-2.61304054642192,"02","2018"
"PR17F0023",-2.77329112517039,"02","2018"
"PR17F0026",-2.87975563463238,"02","2018"
"PR17F0008",-2.85560099225157,"02","2018"
"PR17U0001",-2.87839812744404,"02","2018"
"PR17F0018",-2.85792572084901,"02","2018"
"PR17M0011",-2.61205945857435,"02","2018"
"PR17F0027",-2.82536851695033,"02","2018"
"PR17F0019",-2.62205448657534,"02","2018"
"PR17F0020",-2.68042141279686,"02","2018"
"PR17U0004",-2.85392515381909,"02","2018"
"PR17F0022",-2.47957905918133,"02","2018"
"PR17F0037",-2.48129262352446,"02","2018"
"PR17M0003",-2.85974453390368,"02","2018"
"PR17F0024",-2.48122547918332,"02","2018"
"PR17M0001",-2.41063433786403,"02","2018"
"PR17M0010",-2.54643989068693,"02","2018"
"PR17M0008",-2.53429967025615,"02","2018"
"PR17F0036",-2.54612680176142,"02","2018"
"PR17M0033",-2.53493382711205,"02","2018"
"PR17M0013",-2.55149249472231,"02","2018"
"PR17F0013",-2.59136815604526,"02","2018"
"PR17M0015",-2.53641975594164,"02","2018"
"PR17F0014",-2.53391316573228,"02","2018"
"PR17F0006",-2.53576901357013,"02","2018"
"PR17F0007",-2.55811355365304,"02","2018"
"PR17F0009",-2.48026211195325,"02","2018"
"PR17M0014",-2.85669378805931,"02","2018"
"PR17M0034",-2.55811355365304,"02","2018"
"PR17F0015",-2.47910761292235,"02","2018"
"PR17M0009",-2.49669567102564,"02","2018"
"PR17M0012",-2.53390153165289,"02","2018"
"PR17F0004",-2.68033022307863,"02","2018"
"PR17F0010",-2.40966884983812,"02","2018"
"PR17F0005",-2.48584770420989,"02","2018"
"PR17F0012",-2.48159328834383,"02","2018"
"PR17M0004",-2.48581378017598,"02","2018"
"PR17F0001",-2.53429967025615,"02","2018"
"PR17F0002",-2.48129262352446,"02","2018"
"PR17F0003",-2.47806538130584,"02","2018"
"PR17F0033",-2.87975563463238,"02","2018"
"PR17F0034",-2.85427667074868,"02","2018"
"PR17F0011",-2.53391316573228,"02","2018"
"PR17F0017",-2.62164831472398,"02","2018"
"PR17M0002",-3.15871560708709,"04","2018"
"PR17M0007",-2.92107067866568,"04","2018"
"PR17M0006",-3.1861083349531,"04","2018"
"PR17M0005",-2.74730144531669,"04","2018"
"PR17M0031",-2.65450306525517,"04","2018"
"PR17M0016",-3.32033895937116,"04","2018"
"PR17M0022",-3.05864424247498,"04","2018"
"PR17M0023",-2.84705354622799,"04","2018"
"PR17F0032",-3.35409140105453,"04","2018"
"PR17M0032",-3.23896724759629,"04","2018"
"PR17M0029",-3.18410682045852,"04","2018"
"PR17M0026",-3.01888380004304,"04","2018"
"PR17F0033",-3.0648683778108,"04","2018"
"PR17M0019",-3.28237220962861,"04","2018"
"PR17M0025",-3.18451531280948,"04","2018"
"PR17M0027",-3.04443556129831,"04","2018"
"PR17M0030",-2.94020928092558,"04","2018"
"PR17M0018",-2.95395682629169,"04","2018"
"PR17F0035",-3.02535995097023,"04","2018"
"PR17F0031",-3.30151291294714,"04","2018"
"PR17M0028",-3.41684738835263,"04","2018"
"PR17F0034",-3.30613573084193,"04","2018"
"PR17M0021",-3.33208674715808,"04","2018"
"PR17U0007",-3.41183622664361,"04","2018"
"PR17M0017",-3.25904216588891,"04","2018"
"PR17F0023",-3.23447161254931,"04","2018"
"PR17F0026",-3.32788020763924,"04","2018"
"PR17F0017",-2.92270360552939,"04","2018"
"PR17F0008",-3.05066136173276,"04","2018"
"PR17U0001",-3.26880767256437,"04","2018"
"PR17F0018",-3.49640353429607,"04","2018"
"PR17M0011",-2.95371824746159,"04","2018"
"PR17F0027",-3.23244493385792,"04","2018"
"PR17F0019",-3.30557026641341,"04","2018"
"PR17F0020",-2.92540347556634,"04","2018"
